Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,sma_20,rsi_14,macd,macd_signal,macd_hist,bb_high,bb_low,obv,atr_14,ema_50,daily_return,high_low_spread,rolling_volatility_30d,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled,sma_20_scaled,rsi_14_scaled,macd_scaled,macd_signal_scaled,macd_hist_scaled,bb_high_scaled,bb_low_scaled,obv_scaled,atr_14_scaled,ema_50_scaled,daily_return_scaled,high_low_spread_scaled,rolling_volatility_30d_scaled
2016-08-08,38.36063233269681,38.45898454237465,38.170712251921415,38.414894104003906,195800,0.0,0.0,0.0,,,,,,,,195800,0.0,,,0.007504180271140973,,0.020061601584605633,0.019829619069677742,0.02084403892907251,0.020572535167749637,0.009198229167067935,,,,,,,,0.01255145032797515,0.0,,,0.054654007971786274,
2016-08-09,38.357249989611745,38.49290833383245,38.153763767014546,38.275856018066406,536700,0.0,0.0,0.0,,,,,,,,-340900,0.0,,-0.0036193796489734087,0.008860535128406517,,0.020056224358459385,0.019882819767216335,0.020816314528131513,0.02035059863995861,0.02521291927459326,,,,,,,,0.011573521724667522,0.0,,0.48112345119704164,0.06453253254117151,
2016-08-10,38.170718666532935,38.32333267316474,38.052016008633224,38.10967254638672,332800,0.0,0.0,0.0,,,,,,,,-673700,0.0,,-0.004341731027550311,0.0071193648856802535,,0.019759678123400258,0.019616884179081633,0.020649875128756753,0.020085331879184674,0.015634170923392282,,,,,,,,0.01096712217337112,0.0,,0.47750666867966424,0.05185134300576482,
2016-08-11,38.10967432672807,38.23515615527527,37.84853157211006,37.87566375732422,298400,0.0,0.0,0.0,,,,,,,,-972100,0.0,,-0.006140404087116358,0.01020773089660889,,0.019662630245102876,0.019478602104565312,0.020317014455108307,0.019711800427230856,0.014018138832753175,,,,,,,,0.010423403344925069,0.0,,0.46850078945073215,0.07434435016741495,
2016-08-12,37.984184141700936,38.02827199537722,37.78069795843526,37.99435806274414,519600,0.0,0.0,0.0,,,,,,,,-452500,0.0,,0.0031337881279234203,0.006516073690022872,,0.019463126798215588,0.01915415777970402,0.020206051952375417,0.01990126363679566,0.024409600996979055,,,,,,,,0.011370173798211158,0.0,,0.5149362739821463,0.04745748776436432,
2016-08-15,38.0994832314493,38.15374758110418,37.9841753696326,38.018089294433594,329400,0.0,0.0,0.0,,,,,,,,-123100,0.0,,0.0006245988325492835,0.0044603033613370684,,0.019646428510798064,0.019350933800245274,0.02053890113396714,0.019939144100453145,0.015474446821410508,,,,,,,,0.011970378161783977,0.0,,0.5023728702904711,0.03248502123604191,
2016-08-16,38.052003976329615,38.32332055506898,37.97061003769447,38.16053009033203,309500,0.0,0.0,0.0,,,,,,,,186400,0.0,,0.0037466584602738884,0.009242809692097818,,0.019570946312329952,0.019616865174980985,0.020516710908491706,0.02016651213018638,0.014539591048046608,,,,,,,,0.012534322456033484,0.0,,0.5180048895745071,0.06731669234230843,
2016-08-17,38.15374399060874,39.00160496817782,38.15374399060874,38.50645446777344,971200,0.0,0.0,0.0,,,,,,,,1157600,0.0,,0.009064978306709826,0.022018671656167936,,0.01973269189849399,0.020680578939164168,0.02081628217780599,0.020718686411714746,0.045624719954322664,,,,,,,,0.014303959608134041,0.0,,0.5446334900214334,0.16036510488058606,
2016-08-18,38.49290967467539,38.74726810864902,38.34029564927833,38.59465408325195,724800,0.0,0.0,0.0,,,,,,,,1882400,0.0,,0.002290515101885937,0.010544788366098862,,0.020271895207681488,0.020281717321542853,0.02112144414417548,0.020859473134142763,0.03404942032834953,,,,,,,,0.015624627861678606,0.0,,0.5107140419377402,0.0767991874659403,
2016-08-19,38.411505308220626,38.54716362046499,38.02148863081825,38.21819305419922,489500,0.0,0.0,0.0,,,,,,,,1392900,0.0,,-0.009754227314505148,0.0137545746577097,,0.020142479096804847,0.019967905159207315,0.02059993831925016,0.020258555385072492,0.022995572917669835,,,,,,,,0.014732703040886575,0.0,,0.45040653081518833,0.10017651573243679,
2016-08-22,38.153743743896484,38.153743743896484,38.153743743896484,38.153743743896484,310700,0.0,0.0,0.0,,,,,,,,1082200,0.0,,-0.0016863515815971342,0.0,,0.019732691506272514,0.01935092778257693,0.02081628177423308,0.02015567957194065,0.014595964260510762,,,,,,,,0.014166572209793449,0.0,,0.4908020402148406,0.0,
2016-08-23,38.0011373167424,38.22157914309325,37.98417905896148,38.02826690673828,497200,0.0,0.0,0.0,,,,,,,,585000,0.0,,-0.003288716252865087,0.006242726882978348,,0.019490078841164,0.01945731007064063,0.020538907168986417,0.01995538989325786,0.023357301030981496,,,,,,,,0.013260617110921542,0.0,,0.48277906870626175,0.04546666424580801,
2016-08-24,38.018107117239396,38.14698371435349,37.88244876697248,37.950279235839844,328200,0.0,0.0,0.0,,,,,,,,256800,0.0,,-0.0020507816222521402,0.006970566559920976,,0.019517057315149106,0.019340326423718912,0.020372496341207663,0.01983090376578421,0.015418073608946354,,,,,,,,0.01266259928419234,0.0,,0.4889773545577787,0.05076762372019394,
2016-08-25,37.98419148360559,38.42168828529682,37.93331928108936,38.275856018066406,810500,0.0,0.0,0.0,,50.41875053048585,,,,,,1067300,0.35271193615373975,,0.00857903522140857,0.012759192217071343,,0.019463138470325922,0.019771129531602746,0.020455710536293588,0.02035059863995861,0.03807540725183126,,0.5091006083963271,,,,,,0.014139422710651873,0.013096590479420318,,0.5422003937368792,0.0929270044094161,
2016-08-26,38.40810537075549,38.50984973122757,37.98078267922599,38.09270095825195,975900,0.0,0.0,0.0,,44.632186677067914,,,,,,91400,0.3653087301428712,,-0.004785132949815751,0.013888935115979708,,0.020137073899232236,0.019909387969647946,0.02053335135712169,0.020058241349878755,0.04584551503647394,,0.43426528140420606,,,,,,0.012361221622580486,0.0135643235933838,,0.47528657418246734,0.10115508198378637,
2016-08-29,38.146974764758596,38.146974764758596,37.91635639965015,37.98418426513672,717300,0.0,0.0,0.0,,41.58677357359811,,,,,,-625900,0.35568798978326954,,-0.002848752920780351,0.00607143129621236,,0.019721930229048924,0.01934031238859281,0.020427962585446095,0.019885023933118674,0.033697087750448565,,0.39488016595444964,,,,,,0.011054219224308525,0.013207094694434337,,0.48498194632920766,0.04421909422131862,
2016-08-30,37.98416821723806,38.119826478364274,37.50936559702936,37.70606994628906,1012700,0.0,0.0,0.0,,34.99610797317084,,,,,,-1638600,0.37388605346553,,-0.007321845242387326,0.016189989627783948,,0.019463101481612274,0.019297737319265665,0.019762205365661582,0.019441089986259243,0.047574293552041354,,0.30964571113851036,,,,,,0.009208964339699553,0.013882809245418778,,0.4625853640187043,0.1179139879652044,
2016-08-31,37.74679166991898,37.83157781240534,37.4754749789755,37.6314811706543,691200,0.0,0.0,0.0,,33.46434627116189,,,,,,-2329800,0.372615823462981,,-0.0019781636150628668,0.009462897083826175,,0.019085721853156705,0.01884569379952352,0.019706766954014382,0.01932202927160006,0.032470970379353196,,0.2898360467595129,,,,,,0.00794951911777626,0.013835644178255283,,0.48934094981991605,0.06891961999428266,
2016-09-01,37.64503890238868,37.64503890238868,37.458508395362955,37.48903274536133,457900,0.0,0.0,0.0,,30.700664158937883,,,,,,-2787700,0.3593240151460339,,-0.003785352605362058,0.004975602019201265,,0.018923955991960263,0.018553155739816383,0.019679012947136608,0.019094649063611344,0.021511078322780423,,0.25409444607737464,,,,,,0.007115173100532803,0.013342104401415601,,0.48029243168932434,0.03623801435949715,
