Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,sma_20,rsi_14,macd,macd_signal,macd_hist,bb_high,bb_low,obv,atr_14,ema_50,daily_return,high_low_spread,rolling_volatility_30d,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled,sma_20_scaled,rsi_14_scaled,macd_scaled,macd_signal_scaled,macd_hist_scaled,bb_high_scaled,bb_low_scaled,obv_scaled,atr_14_scaled,ema_50_scaled,daily_return_scaled,high_low_spread_scaled,rolling_volatility_30d_scaled
2016-08-08,24.726594750779547,25.75935096144422,24.726594750779547,25.314470291137695,1518550,0.0,0.0,0.0,,,,,,,,1518550,0.0,,,0.040797069770258175,,0.0,0.000941479738014131,0.0,0.000585715493307791,0.05400178070209534,,,,,,,,0.0005071251361932778,0.0,,,0.33518708730364455,
2016-08-09,25.421718120506927,25.421718120506927,25.084087271730514,25.203250885009766,121000,0.0,0.0,0.0,,,,,,,,1397550,0.0,,-0.0043935110965709345,0.013396321383969853,,0.0011427700897617549,0.00038957593967064996,0.00060894957987849,0.00039935234435180267,0.004302930733234688,,,,,,,,0.00018411549530583963,0.0,,0.16838846930890394,0.1100636386525455,
2016-08-10,25.024503758235,25.183391021351948,24.945061960132133,24.964921951293945,68970,0.0,0.0,0.0,,,,,,,,1328580,0.0,,-0.009456277477980946,0.009546557433057086,,0.0004897569525309092,0.0,0.00037213510089272733,0.0,0.0024526705179437726,,,,,,,,0.0,0.0,,0.16732527622847346,0.07843413259292795,
2016-08-11,25.024504455800344,25.421718957753974,24.9252026637676,25.29461097717285,393250,0.0,0.0,0.0,,,,,,,,1721830,0.0,,0.013206090790995662,0.019629331102757667,,0.0004897580993155626,0.00038957730825738,0.0003383069521367896,0.0005524385282938138,0.013984524883012737,,,,,,,,0.0010497813328841738,0.0,,0.17208442790851453,0.1612737962580037,
2016-08-12,25.47732947119247,25.580606194974926,25.02450442613456,25.413776397705078,1001880,0.0,0.0,0.0,,,,,,,,2723710,0.0,,0.0047110991602032914,0.02188190216746318,,0.0012341941318560548,0.0006492986952146146,0.0005074566907486561,0.0007521162984799462,0.03562826647118322,,,,,,,,0.0037243011594321612,0.0,,0.17030045929535925,0.1797808296889572,
2016-08-15,25.46144299658037,26.49022989316911,25.46144299658037,26.160541534423828,2403060,0.0,0.0,0.0,,,,,,,,5126770,0.0,,0.0293842648582594,0.03932590215057258,,0.0012080770585290723,0.0021361942611286405,0.001251733964572177,0.0020034222283945233,0.08545620436204092,,,,,,,,0.010139272627456682,0.0,,0.175481883257328,0.32310003320503516,
2016-08-16,26.339286912576995,26.77225016974426,26.25587200676414,26.3948974609375,1841620,0.0,0.0,0.0,,,,,,,,6968390,0.0,,0.008958374435991345,0.01956356010643053,,0.0026512363801236075,0.002597192253562121,0.0026049572731544693,0.0023961172621312504,0.06549060575983195,,,,,,,,0.015055479361763487,0.0,,0.17119239728809035,0.1607334243927669,
2016-08-17,26.414757037771096,26.67294611518945,25.664022897294682,26.05726432800293,1639550,0.0,0.0,0.0,,,,,,,,5328840,0.0,,-0.012791606159267777,0.03871946053870705,,0.0027753078838283693,0.002434867152877121,0.0015968067652664536,0.0018303673086277547,0.05830471143533003,,,,,,,,0.010678698727738703,0.0,,0.16662484920740325,0.31811753326948533,
2016-08-18,26.116847808658484,26.116847808658484,25.620329615199587,25.89043617248535,663080,0.0,0.0,0.0,,,,,,,,4665760,0.0,,-0.0064023664732254515,0.01917766816097767,,0.0022855505668971376,0.0015258537797265548,0.001522380017247943,0.0015508241832039998,0.023580060418126093,,,,,,,,0.00890860589567554,0.0,,0.16796660486264248,0.15756295166179204,
2016-08-19,25.818935783678455,25.822907048714722,25.223114019428426,25.39788818359375,529980,0.0,0.0,0.0,,,,,,,,4135780,0.0,,-0.01902432178470015,0.023615862269751382,,0.0017957886536110815,0.0010453702418971797,0.0008457665051034222,0.0007254934480605824,0.018846836611567934,,,,,,,,0.007493823668588562,0.0,,0.16531596398023127,0.19402697627398519,
